subset,label,folder,filename,random
training,i,18,651_i.PNG,0.305520454
training,s,28,700_s.PNG,0.448010841
training,0,0,670_0.PNG,0.130465242
training,d,13,600_d.PNG,0.491424466
training,q,26,692_q.PNG,0.769373099
training,8,8,1992_8.PNG,0.412268583
training,X,59,516_X.PNG,0.271715967
training,B,37,101_B.PNG,0.861277112
training,h,17,137_h.PNG,0.665397703
training,t,29,512_t.PNG,0.019723597
training,H,43,37_H.PNG,0.592940373
training,q,26,422_q.PNG,0.850450537
training,8,8,132_8.PNG,0.713798517
training,4,4,1149_4.PNG,0.756480127
training,K,46,47_K.PNG,0.951460826
training,X,59,193_X.PNG,0.289509964
training,e,14,99_e.PNG,0.990355224
training,P,51,263_P.PNG,0.746930454
training,h,17,550_h.PNG,0.353627925
training,2,2,51_2.PNG,0.857350572
training,o,24,600_o.PNG,0.329295423
training,L,47,725_L.PNG,0.395240062
training,j,19,598_j.PNG,0.187258536
training,A,36,372_A.PNG,0.181280965
training,2,2,214_2.PNG,0.794427076
training,P,51,354_P.PNG,0.607205402
training,f,15,345_f.PNG,0.380240594
training,8,8,126_8.PNG,0.642250866
training,4,4,480_4.PNG,0.06035863
training,N,49,176_N.PNG,0.466111771
training,0,0,998_0.PNG,0.688623626
training,1,1,776_1.PNG,0.654179232
training,X,59,234_X.PNG,0.957263187
training,g,16,208_g.PNG,0.560611191
training,D,39,198_D.PNG,0.960930601
training,4,4,1789_4.PNG,0.753927227
training,X,59,382_X.PNG,0.345451266
training,H,43,635_H.PNG,0.795383898
training,2,2,940_2.PNG,0.851055862
training,A,36,264_A.PNG,0.611977664
training,7,7,1637_7.PNG,0.208210507
training,C,38,589_C.PNG,0.437810128
training,1,1,303_1.PNG,0.325854678
training,S,54,355_S.PNG,0.487862889
training,8,8,1223_8.PNG,0.31138393
training,Y,60,542_Y.PNG,0.479536263
training,b,11,63_b.PNG,0.788288748
training,6,6,1313_6.PNG,0.934620658
training,4,4,150_4.PNG,0.453428755
training,m,22,411_m.PNG,0.772699288
training,F,41,741_F.PNG,0.552513666
training,C,38,239_C.PNG,0.434081977
training,9,9,1374_9.PNG,0.159870504
training,6,6,1343_6.PNG,0.195490896
training,7,7,269_7.PNG,0.503010657
training,U,56,267_U.PNG,0.089505948
training,m,22,277_m.PNG,0.30556244
training,L,47,22_L.PNG,0.350022089
training,D,39,224_D.PNG,0.494227194
training,C,38,76_C.PNG,0.88826978
training,w,32,222_w.PNG,0.210083797
training,7,7,1339_7.PNG,0.413835764
training,5,5,971_5.PNG,0.093511502
training,6,6,1008_6.PNG,0.199861569
training,U,56,554_U.PNG,0.083959527
training,o,24,715_o.PNG,0.848559469
training,B,37,507_B.PNG,0.937262515
training,1,1,1782_1.PNG,0.275675244
training,Y,60,25_Y.PNG,0.971762646
training,a,10,456_a.PNG,0.691920242
training,C,38,15_C.PNG,0.011075277
training,r,27,218_r.PNG,0.022144368
training,m,22,266_m.PNG,0.043825367
training,f,15,673_f.PNG,0.241977041
training,R,53,452_R.PNG,0.432452739
training,7,7,1120_7.PNG,0.925905572
training,P,51,119_P.PNG,0.039708705
training,G,42,164_G.PNG,0.258125071
training,g,16,699_g.PNG,0.59807347
training,8,8,1922_8.PNG,0.888220924
training,9,9,27_9.PNG,0.877642957
training,0,0,1656_0.PNG,0.239064357
training,z,35,453_z.PNG,0.441863581
training,t,29,644_t.PNG,0.788796716
training,i,18,394_i.PNG,0.816862145
training,x,33,175_x.PNG,0.833803122
training,t,29,626_t.PNG,0.319915961
training,H,43,505_H.PNG,0.393928454
training,F,41,68_F.PNG,0.465795831
training,6,6,213_6.PNG,0.00110555
training,4,4,1770_4.PNG,0.011582852
training,c,12,359_c.PNG,0.102853825
training,4,4,1086_4.PNG,0.782768051
training,h,17,330_h.PNG,0.695010526
training,a,10,190_a.PNG,0.648494746
training,S,54,553_S.PNG,0.347762823
training,r,27,442_r.PNG,0.213278753
training,3,3,679_3.PNG,0.415948394
training,1,1,781_1.PNG,0.810924459
training,1,1,236_1.PNG,0.033614657
training,e,14,625_e.PNG,0.807281094
training,3,3,1282_3.PNG,0.854713185
training,4,4,16_4.PNG,0.418958794
training,B,37,370_B.PNG,0.761232773
training,B,37,5_B.PNG,0.585460409
training,D,39,345_D.PNG,0.844923797
