subset,label,folder,filename,random
testing,I,44,35_I.PNG,0.214295268
testing,D,39,52_D.PNG,0.489417635
testing,3,3,92_3.PNG,0.998899561
testing,3,3,84_3.PNG,0.042084604
testing,6,6,208_6.PNG,0.347548082
testing,7,7,249_7.PNG,0.265740207
testing,y,34,168_y.PNG,0.908613316
testing,2,2,39_2.PNG,0.327415175
testing,I,44,71_I.PNG,0.707510572
testing,Z,61,121_Z.PNG,0.76026836
testing,2,2,142_2.PNG,0.289769923
testing,u,30,77_u.PNG,0.319928902
testing,2,2,15_2.PNG,0.367200327
testing,3,3,108_3.PNG,0.280304429
testing,C,38,16_C.PNG,0.560190359
testing,j,19,56_j.PNG,0.944263506
testing,6,6,263_6.PNG,0.546312412
testing,R,53,56_R.PNG,0.755835695
testing,6,6,267_6.PNG,0.079731816
testing,Y,60,118_Y.PNG,0.550107143
testing,v,31,103_v.PNG,0.622927004
testing,A,36,85_A.PNG,0.681662282
testing,3,3,51_3.PNG,0.030296735
testing,V,57,69_V.PNG,0.230458876
testing,A,36,67_A.PNG,0.658607291
testing,R,53,58_R.PNG,0.246813793
testing,y,34,87_y.PNG,0.845044196
testing,S,54,84_S.PNG,0.342347375
testing,G,42,75_G.PNG,0.229625383
testing,9,9,154_9.PNG,0.299414121
testing,X,59,59_X.PNG,0.839894552
testing,8,8,158_8.PNG,0.252257307
testing,g,16,78_g.PNG,0.169310216
testing,x,33,61_x.PNG,0.881074254
testing,7,7,91_7.PNG,0.832067361
testing,X,59,80_X.PNG,0.653198449
testing,k,20,66_k.PNG,0.247285713
testing,4,4,212_4.PNG,0.112339245
testing,k,20,71_k.PNG,0.350124676
testing,3,3,41_3.PNG,0.307055055
testing,Z,61,30_Z.PNG,0.786392193
testing,N,49,40_N.PNG,0.228363982
testing,4,4,183_4.PNG,0.084551323
testing,3,3,237_3.PNG,0.793025753
testing,S,54,81_S.PNG,0.382135191
testing,X,59,65_X.PNG,0.31053972
testing,U,56,29_U.PNG,0.716863052
testing,B,37,67_B.PNG,0.212299294
testing,z,35,12_z.PNG,0.599925563
testing,f,15,22_f.PNG,0.640345385
testing,Y,60,147_Y.PNG,0.316573396
testing,y,34,66_y.PNG,0.795355207
testing,k,20,9_k.PNG,0.033901481
testing,v,31,116_v.PNG,0.743059454
testing,Z,61,143_Z.PNG,0.268289975
testing,Y,60,60_Y.PNG,0.544139978
testing,g,16,48_g.PNG,0.240096711
testing,W,58,26_W.PNG,0.466966209
testing,z,35,39_z.PNG,0.877740938
